Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0x4ef6c3085223efe4ccd9d2ce61d1fc4baa9dd153,1,0
0x99eba5b3fdac8d1a26360c42b8bdf568d4ad7081,1,0
0xfe299ee939820c34b380cb6bafe9c007990d5549,1,0
0x80107abe5a19381acacd437e1d9917d4a40e04d8,1,0
0x7ef7c932f8f24bf6b2705241ed4a17990215bc16,1,0
0xe9d8b4c4b8f77f8532eaeb66c31030a449d60347,1,0
0x2a8330b16956256ba1666b36e8b90f964a9facf3,1,0
0x32f0c4d074082ecf36578d76b012ca4315829ced,1,0
0x39d0b67785ffe7eeb2956438672e0e5349a7e892,1,0
0xf15adf56bf8e387096d5a8ae2fc982dd668c6eb8,1,0
0x4d97c4974ad2d1eb53de136686602b790b3677e9,1,0
0x4e5d4b291b7cd29434f5f5e301074a54dbf3a6ee,1,0
0x73b4b8fc60179c7523c015ff48f0892671a15fd1,1,0
0x7786ff0f761c34a44d2d40551bd5502ad93957b8,1,0
0xadfe59736840f50d82ce31d0613480732488a42e,1,0
0xc2bdf96b1b53ca0514ec6e79b45dde6a0b20c1df,1,0
0x0612cd355da87bb0034416b9a0e5020a4d0fa08b,1,0
0x53788bcb8d422eaefff896d21546d269313928d5,1,0
0x539a6b19ff986088f5b6450c78b66afd0ff53f80,1,0
0xd5402d76eaa36f90614e99f42a65670d824e91aa,1,0
0xe4a6c5a15e79a42dee0592104c07c7ed00c119d6,1,0
0x9db42487466205d3d5e4263e5293338371b955a7,1,0
0x4797a94741b2512c3236d61ca0195638c44deb4c,1,0
0x2071420f9b284650207307781a9321d3e96bb7a9,1,0
0x7dd0bb037b45f9c4677faa19e70d372fe6538858,1,0
0xb7435e810139996bff51b5c2d67d9da2d0fde317,1,0
0x160459fec8e00edb3eeed56215ffab6fdf0b9a2b,1,0
0xd3e4d1c997ff5ee14f3e3b04ad68814bfb73b4f1,1,0
0xeb1e446eabd6705c9a8bc43882865463e0a92c7d,1,0
0x7eac79a4452cce650993ae53320d7cebea6262f5,1,0
0xfbf296a4517a4327e763c1a17c1be65220134b3e,1,0
0x7eb6d32a2689adb98fb3f6e7b69c4c475a82880d,1,0
0x7ec2873df491237570f48d8cc3f841a2657e28d1,1,0
0xe8176e7f80845bf155cc02c26899344c0ebcaeb8,1,0
0xbe3311be18698e85d5b2f39fbbd67b17a8c3a918,1,0
0x2c01851ea39963e9248745807e318ef6a1e8397d,1,0
0x6c5e0eed1dc566e193203ef1204190f46fea62cd,1,0
0x9fc2d3662185075ff7f29c10f8b904c6a61c261d,1,0
0xd38e8c7ace3e1e83bd1d9a7984b7ef7304a4e2df,1,0
0x0894c86914c32a7409634e4f8d1b117e26b2872c,1,0
0x017aa12245c52f4634811ac881fe80d492c6ee00,1,0
0x3f08cd81715eed0f9f7a03a40f65f14a2aac7f41,1,0
0x7eeaa097959d14a1baf9851b43b3d6bcda0aab49,1,0
0xaae36139cdaf97951d1db5ff076a0f8c5f56e921,1,0
0xa8cf0f292d4450facc2138cfd9b85863a1d5361d,1,0
0xdc96887eb37b9209aa0b5ddac49fe8d0d6b38037,1,0
0xdca4fbbc65ed2459c45573ff612a31ecd9af3920,1,0
0xe4c7ba3b4d0e3ee9210af6d93601a717eedc0d1a,1,0
0xeca6abd10ed0916266c1135044830afb291e8d7a,1,0
0xeca6ca6f9831b9a2ee8ca5ac647e99a742914721,1,0
0xedd8b9e225ad2b2e3046cb07be6f07b60fc9a1cd,1,0
0xdbd9e03b74b49241dd138fc690094155ffaf344f,1,0
0xc15453fe9fa36a3c757090d85a50c2e82c43bcd3,1,0
0xdb161bf4250759a64e4d0a2ed5eb223bcf2de788,1,0
0x402550c954c4f72fd0e247c81f962bfb6a082b31,1,0
0xe20b0ba09d59c6f9187ffd0f82f0954a8bda85a4,1,0
0x9399451ed6b8dfbb56f0a129254d46d89579641c,1,0
0x1ad09194dee576eea6eda9092ecb80b2be247b40,1,0
0x7f4101c94b9008e78122a5fc47868ea0432ccaae,1,0
0x827bdfa9311817b87c8b428c271f4b0585022ca9,1,0
0x03925fa2726cda346525112f6d5f21797e72c89a,1,0
0xaa2ec05d46a63906b8acf36e4b01a7813a9c3ab3,1,0
0x328d4d15584b5e9be7928281d4b42bdc1f7b3571,1,0
0xd5139c7028bc22814219eac603083cad814dbc30,1,0
0x93f7cbb656ec24f166a32ebd4bc450ccef8af08c,1,0
0xf3f16ddcfb13236f9ec34247002d8f7bea10e7bb,1,0
0xf3f8f29e791d8c2e5fb648c0b6cfdb5e5b901583,1,0
0xc526d08b32173f6a8dda98f62df62148ba2fdf6a,1,0
0x274c59730670cfa61cc48fadfc3efd96c1330d14,1,0
0xddc0f1aedcf09315c6918d5aa5f98cd1cf23ef5c,1,0
0x9faef44fae6975f067af654bd6f3a51cfd10c65b,1,0
0xa29f8bc9f93f7fec011b8993ded441d3d3ce8c0e,1,0
0x9eedcfe69c29fc84019326eb55f54040f8f928df,1,0
0x3106754e3ab6f56786a9b4be803182b8369041aa,1,0
0xaf8d2af6b439fae2bc763aa0fec7bb5b12981856,1,0
0x160ae01bbe3ea103ab3d63fcfa6d04a4267bc7eb,1,0
0x1c4035d05ef6d914215a8df351dec4a72ffa945e,1,0
0x1ca89570b6b18c8172d3832d810550a606eaac27,1,0
0x3df6837d297688c07575f9c0949b8a76c8c8f671,1,0
0xb262b472cc6de0dc4ba76f8724e7372000939665,1,0
0xa5d42df5b77c4e400a23a38c57857863c1287236,1,0
0xc9917c4a37c5cfb553c32770af3f6951c36aeefc,1,0
0xfedf2756c237f4c2c4d1fc55d4e337ff47a542cb,1,0
0x4426f66628e02299932c49c4685f4a50a5f8666c,1,0
0xd0c93e7011e7fd54458be445fe3808966b5201a8,1,0
0xfb6fc44c89e6a997e2b6e186d8c812e8ab47b0c6,1,0
0x2ce950bfa50b9d7c0cdc27253bc1e2c5144abea3,1,0
0x12407af0173ead3e59c70653fd73b973b637c945,1,0
0x3d322b066014edb9c0c582a5b0c7ea76dda4bb36,1,0
0x481355c565f144a3093b15f28cf1abe1e5c0a00f,1,0
0x7eedd9442174778425712ce930eed2c42db5dc03,1,0
0x85b7545c5f17dab1aa7b98fa0028062c0855f7d8,1,0
0x3fb8cb91045399aaf938b657382741eaaeb7fd42,1,0
0xc47b29470aae6e001423d522b169c27c6bc33c4c,1,0
0xa5dcf990e201270ae985f4565263a42821e456ac,1,0
0xcb3f75138e4199fac49faa766096c90fb61b80cc,1,0
0xca8655f8f26ab5d5c3ef646c596a005bf7ebef33,1,0
0xf963ac992123d82bd6e1d8e0aa70f13bce13c48d,1,0
0xf9841ffc1e021b76c6850b531e3b19d773438428,1,0
0xd55824d2605631b0ad25537166f40a2234a64af0,1,0
0xd6ed8841632b868fb4c30c16b03cc81d8689abbb,1,0
0xdca8c65150a4b5c2f261f6386a4497067b4276e5,1,0
0xe0f135f1d23e9099f27b554b21a95ec13254b816,1,0
0xb9778119714ed781d0322851d95648745cc3761d,1,0
0xe9973d856d30b7f6c3d5637cc404ac0d4ae2eeb7,1,0
0x46e3d9e8b16bf807a94d64968cfebc80b98347e6,1,0
0x0666f7ed366a7cb3a8b0da0efb9679cf2ebdcf2f,1,0
0x9747bb7a1d3205439a884216d9a7e51e2955979a,1,0
0xb991175200a225f124c7bb820751411144d03552,1,0
0xe58037cff4b044f7ff2b294181f37c9c2a13ab80,1,0
0x59d8d68c419bedd7ba9ae899ec27375602e34a7d,1,0
0xa11acb07c1c55bf5829ec0b3b7f16fc9e9cb0f23,1,0
0x3b8a12fcbc1455c8f93f399f7f10583232e9e1e2,1,0
0xc2918d66bf3e160cc2ab9434710c40f12a5e0362,1,0
0xd6cd6420f13bab67149d684852ce1f109a6f76c0,1,0
0x3747da25ab5ee77ecc303225a282d4e6c7ba9dca,1,0
0xfaccd12eda5ab06a7c9d690748695da1821ca9ac,1,0
0xe45fd805987b5bc0e684ca9efbb1dae4799ddd04,1,0
0x3a04619c753fa8d01ae33b6bd5c433b2054dd693,1,0
0x9f7876ea3965ae7336e28186b6e51584a589a5fc,1,0
0x081c16929b42f36ca82b3a778a1865ee61ebedea,1,0
0xe5cc223058eded1d2609c4c88c33bf518a0b1cb3,1,0
0x008cb6160755a968ee3a7a42abd55dd266607401,1,0
0xe847831071805a285a1d2e2a500269b50f03e7c6,1,0
0x0234b855f2e7995cf6311214fede00edf6c63053,1,0
0xa7c783f567c7c29de3634fee4cf677253236d575,1,0
0xe7ed78ba9a01c07fdee195ee1b844d26f3e4ba93,1,0
0xef76a2dab80f0a49121cc307fb0c5af5388ab91c,1,0
0xeb55f844dcd4fbcd2a81d79a595482568c961de5,1,0
0x09977bffe33e73a6a9e9e2b89fe361ac02f72587,1,0
0x07cf98f4d3bc28e47ca8b27002250f87f10833ab,1,0
0x07d5440fc04768b13904b5fb9eff9b79889a3b02,1,0
0xed1cb7309894b86fd8bc7a602e27635977429a03,1,0
0xe4e71075e98a425a99d87fbca12b2a476636906b,1,0
0x91ba15acb800efe7a0aa344c0fdd535929969e3c,1,0
0x889d17b74df4a3857a2509295e8a548484faddb0,1,0
0x10ae5658bf4ad008291d1070b964584e2e686085,1,0
0x24831d24d6e6aa23ca665b3f9a472ff32d064521,1,0
0xd8d081ef8b2309c795dfa79b95592600c354725b,1,0
0x3fb9aa87cc705480d75ca8a5ec64d825ed0c2c03,1,0
0x3aea460f6562a2c75e5fe39d3833e8aba97574fe,1,0
0x1672d354bb2552ae2b444b8de6d324ffac4c9d55,1,0
0xf19f3620bdeb193cbf71a4015027ce1e885613cb,1,0
0xb627b31b6efb1abe4babab17162291ffe2164e69,1,0
0xf3db597b6b2fae28d62b96f4441b92a612cc236b,1,0
0x48c57c060bd5888f999ed15b0254beea14b69d2c,1,0
0x3f3a6b7a7c74709028b05583220f5773a950c97f,1,0
0x9a9ce9725010b55d37f3b60536a28fb7c5ac5868,1,0
0x09467ed00c50734d15672c397fd35dc6dae96ad6,1,0
0x068eb1e5ff9bfa30ca41c75e22cd4774965f4db8,1,0
0xf29bc6e12c18b470487dfb1cdb1f80221431d9e0,1,0
0x3661c9167b2becff13b155def8b5d1c6a14f8974,1,0
0x9f8505f6e9ac1cf472d1510d8e743704c1f4c0e9,1,0
0xf3e2d261b58b43eff169f2c713d8041c98342da2,1,0
0x575895def26c9ea312e8f0a00ef187d28d385a69,1,0
0x94c87bd25190d493af0a803d47b94098fa64e038,1,0
0x6f040983527fcddaeb5520d6de6571e164cd81e0,1,0
0x494c7fdb753c15b69fea2293e1b76567ca94462d,1,0
0x6dc98f2aa4b14bfa3b4f0ba2b321e7c18f21d5d8,1,0
0x205ddda83af0246f4f4fd2d6f3d7ba4b0088bf9c,1,0
0xa6ff335e81b7972ec98a24a234d1bb74875c900f,1,0
0xeab20bb31a245addb6aa777cc1527c991042831c,1,0
0x0af022e723a6a60150398d2ba6212263979d3b2c,1,0
0x9484609a9b66bdb4baf70a125800c39f802de42a,1,0
0x8f573620cf975ce0f85589af46ed31696d16a9cd,1,0
0x827b4277ced13f7ecd6d37cc214c26bc6ba1d76b,1,0
0x13054b7c6dd58816c94ed20a1471c46984dee160,1,0
0x9942796afefea0c2c651b80fa0024b46f5827506,1,0
0xb70b3dd161027db0ab4b3a7e8fc2923b1e27a039,1,0
0x012f9b0ee98989097cef7d117d16ed0f879076bc,1,0
0x0b36df4b4b5093c6c154e90376d40e8dcb4a0507,1,0
0x0b9617615bf539acedbbdceef666e8135d320b9c,1,0
0xc2272d4f7ce014e10ec04238dbfdd1537d44f67f,1,0
0x9a0dea4b77f094b3f81751a5576c8f25d2722bd1,1,0
0x9ab8f67e8b791a0d23d93ef279cb8d083ca832a8,1,0
0x772cef81bec7543ecf95eebe0fc23a14e34e8a5c,1,0
0xbacd1ab20668c343fba19a004e16d2d80f4f932e,1,0
0xf03af3abb928abdcb4a8d48955fcd472eacd694c,1,0
0xf32726cd0a0f6515579c5f4ef0239e3390502a18,1,0
0xe8d1aba331cacd7ab7c38f0d20eb0d47e487a89f,1,0
0xec966a5c904d5b46663334e4cc17a439a8cb0572,1,0
0xcaf6cbfd065ce8e6a6a73b7931b3ebf101cd7c49,1,0
0xeddf8716a2436b8f3f578d876ce2a16f25b15589,1,0
0x4d60a89b586b0346c8a9329ed77cb0669bf3e4d9,1,0
0x4802a5efa154763dc5f4fd371dd7350948d1d6be,1,0
0xb9f52277b7976b0f512162e109facfbd6c18b73b,1,0
0x1a743ca7b15354ae9ca3e3b823f8df16e85804f5,1,0
0xb312ac004f880df21c07a96d8feab476c48c0326,1,0
0x19ea5e537f70a3753923d35ef237af9fb8b764f9,1,0
0xbeaefe9297fb279640a7266411d387829d6221cd,1,0
0xdcf69dec75df6e806ec3dec84052590040232275,1,0
0xd993c59d8313222a0c019ed0a96d0d542ece8cc3,1,0
0xe5c9d7e047e6ec695ef4c4273188b94f0b4c64d4,1,0
0x1e470f5296f8e3cd16b3f6fcb66f3187bb85a054,1,0
0x5d84aad211a62f00e968ec5da31f27f4d43881ad,1,0
0xc74d9589e34d851c69b86e084b151aadd3c012f6,1,0
0x71a80cebbc5952f5c0b2dece0318e39bd31844dd,1,0
0x1a9c28f602094ca03abe47e30bc9316b09305318,1,0
0x9ca53d2679f8a5f1f863b0a620d3d100b21e063a,1,0
0xba3b454a0c8a645c627b78b974e9c6e18b9ae696,1,0
0x4a4487e81b806b7550b46d5e12baf26c4dcb8279,1,0
0x6b853c65c6b5070bae81f5af4ce7f603787ebcbc,1,0
0x6bc6e9b5a6fc34cd6f7acada4609135ed3d6f175,1,0
0x14710c4fd97c5abd2d591c500f6099a4a42b5dae,1,0
0x45bf4eb8139b85207d593d09ac44accdde5001c5,1,0
0x24f5cb4d0846395c629032eb2deb759ecc251846,1,0
0xdbcb96f923f395f14a776becefcb054f6ebb89d2,1,0
0xbd96eaff718d635dda14d4f9335f3f1f62d1ff45,1,0
0x27878fbbff128c75901162266f10a4ef9ace51a4,1,0
0x2959f2bcd786343efc30f2d48a70288e1eb8ff4f,1,0
0xb5bbfd9625a142e0f7450f0c34b54982e3fe3c31,1,0
0xf36d7d91d0dd77da10a5b39fc25e6e86cceeba0b,1,0
0xec8251169dd17dd5769c0297cf77ec5bcc89763f,1,0
0x36625c4cfe2eb63552e964643fba1127748eb375,1,0
0x36c78fd58308d403e3b5f3cc0a9d86dc93227197,1,0
0xcc09ce507d0d80496b5543f178d71d1b3e55a5ec,1,0
0x8289b5610768106a6e445088fe7b5d13f13dddb0,1,0
0xe1dcd3120d665c5d7363b7f344abec85800fc0ad,1,0
0x937557b64de41f17fbfd7009162e2a75a0972fb0,1,0
0xd83d9fc40d380260754454dc662c6f9a0f5f7869,1,0
0x6520542b568b310b03e93ad22180d6c8ce819020,1,0
0x866fdb4bbcaf5f65275c83bc0e040ad68074776e,1,0
0xeb3681bd9eb594e5ff5fbd7dd99a0d6824a12f12,1,0
0x86cb92f59177dce95eabc10e9f235ac7bc04ab87,1,0
0x555d85e70a5ef5a96245312fbb9c9987e7a04229,1,0
0x7a727ed56942b7799ad537af356d5c1b23bb8cbf,1,0
0x5ccebb062fb4a59c8a4bf1b0b01cccd5f9723cc2,1,0
0xf69c4da186be5a72aae5e90d20d5f40e1fbd5aee,1,0
0x8ade80e9c115e28ab0f6277a650bc69a9b3b232f,1,0
0x8fa4aa692dfd83c2bf6877aa9b1f1fb12185f3fc,1,0
0x8fd756610ad6773dadf9b20b851d1ad255066e7a,1,0
0x0a675d37d872dc2a5cd6a55861b64c779c787fd4,1,0
0x13a74e55762f4a8647653d3c67712e9eb60ec7a5,1,0
0xacd7b8c36ca5270435d66f4ede10c7c76ac2f286,1,0
0xcc1a22c037fb33942e2a55893dd5791ce4fb7158,1,0
0xcd23c4a0e488da6264508ff511514eabe80592f0,1,0
0xddbc838f9b3b0c4653fd55e50b1630d6b5c2d513,1,0
0x2e576ea45c24a44d34f6d66e2b7dc1865e1d4280,1,0
0x3ee52121724b97cea64099380c192ce8e2abc110,1,0
0x4130a651b09a88b5ca7b38dba7240c08e113c890,1,0
0x2eb285467336abd459947a9035e52156ee8f79f7,1,0
0xd8d6724cf6759614feb043c591782e7a61e9af11,1,0
0xca735620756d513bac34d67cc2347f6b2b5d2cce,1,0
0xd930349123d274eab9b63cfa236fbd2f859862e5,1,0
0xdc56593d218b5d5abea0a10a351f38d27112e9a2,1,0
0x9580f5849ef39c77fcb1274c85f4838d0941ad68,1,0
0x349d69dcaa4dea55e54f16526316aa58b78d2dcc,1,0
0x34a95ea929eb13f7b37f40a2d75303e6a342e826,1,0
0x76e13d92276b45eb000f79ca51f41d747d0c76b9,1,0
