Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0x0032c1ec8520d80cb4b07c1cb065ab891a36340c,1,0
0x005fe2fcb9f6cb92744000a5a87493f6ef896490,1,0
0x009121c674e0a19c368d75566ea009787b2eefdb,1,0
0x00b92baa9da5af182bc4086a6779d1e93fade1ff,1,0
0x00d1dbf5ca02576194fd474850eea8113bfeb2e7,1,0
0x00d3dae61b601a58f2606c3307949e64b2a482bf,1,0
0x0142cc708a9db9fbbeec8ca88578a0a2f6c0bd36,1,0
0x018c243711069dd05573d6b7bd4845e7948ecb14,1,0
0x01b3b9d9b72e8780522c76bb26857587e1f9c14a,1,0
0x01e77f2c9490150ae0cde24c1b156cb5124d69dd,1,0
0x01fb7d2d48906d87f0124446502ef3b1692f8e56,1,0
0x0206c4ef1b1e071e236e952de0c035e04a9a7285,1,0
0x021143c2a11b92c6856079bf585c7a8e2d678442,1,0
0x02170852df2a890168d4082e561b6aa68f7a00b7,1,0
0x02430f7e8d030c2ff399088f2c887fc10f726f3d,1,0
0x02573ea53e4909b65a22357bc3809b7729255f8b,1,0
0x029c2f0ea1c57dc6da58eaf31028d64d90f3073c,1,0
0x02dce38d7aa1cf54807a3685ea972c6617b97a02,1,0
0x02fded18dc9724bb6d94401600a6206ba34923ef,1,0
0x030a770b7c36b878be387443f2b774b93cdae882,1,0
0x03383d52ce7a037ae57ffefa94f93b6f29052a16,1,0
0x033fa666add6f2d9343224e195d7a762c9c6d82e,1,0
0x0381373d957130b8c3864988780c8534a0f770ca,1,0
0x04424697d8facd5257db51d6eeb44710e1cfc47e,1,0
0x0469e2583c83610b7a2ae6b724c30344b1ce12e9,1,0
0x04795738d2ff32ed2656d011550b2cd12537b1e2,1,0
0x04795cdee2b677b46878896dae76be5cb174dac6,1,0
0x04994c1a36690c3f8bab7bf4e0a93ae025bef6ff,1,0
0x04baf698027f514e614ec2a39657b41098acf64c,1,0
0x04bda39ac7b59301b2cda74eb84b16986f88f884,1,0
0x04e2454755d7c42f95dfadf6f747e04657244b94,1,0
0x0509b82e4edcb3a0f07012c2998f007f8696a356,1,0
0x05851ee794701b49977f1c87986229a7ff885779,1,0
0x05a5afc4d5a890bde3a61506dc3085b83f78dc05,1,0
0x05c453ea54bac3241c81240041b204650b2c14ec,1,0
0x060e074705014139ba73d9ba59a2abf95b97e50f,1,0
0x0636499aed5f66fb96ed16e58d72000293c160cb,1,0
0x065c0eaa9941c2e6fbe216b3413e5a1ebc065d17,1,0
0x0674cfcd5a903bbc78d0b5ee802495e18733ddce,1,0
0x068511f5795bdd15f6d06be96a1393bf72f17e8b,1,0
0x07029a4e2e4b84981ae06b7c66d03405978bdc4c,1,0
0x0722234fbebcfd6c8ab9fb37a3ed247e0a7275c6,1,0
0x0770e6e68ffc4332b242f8f08d0c8081618e626e,1,0
0x0774eec2873f3deacdae2959bff128b717a4c741,1,0
0x0787ccdb59277edf5fff1cd742cacc0216e43c02,1,0
0x080f4c4ea2e3b236b617e337d8e3c2512e67c147,1,0
0x080f75ca89182f9001f427e052ebee0085824d5d,1,0
0x080f8e349af13b4a04b72a477070a98222951e5c,1,0
0x081f7c0e39b19d0040014f43e4f46b6e9fce53db,1,0
0x0850c6bd087621768eedc4f5505ee709509859f3,1,0
0x086c57e5b4c26ff9644f2148ff1c96b265afa652,1,0
0x08b54959d99a8ff9f71ba27fbc0f42b2b2b20b1b,1,0
0x08ede5c20c6cb3b5f84f918322126ab207ac6cd0,1,0
0x095a1565b5ddbb525feccbc0a7a0b9d1daab69aa,1,0
0x098fd5e9eb1a24b12000a1497706c9e85b7a6458,1,0
0x0a24869b602d78297a24951fae95c8bfe4273bc2,1,0
0x0a2853c36ab5dbebbec10041fd63644722b70619,1,0
0x0a4251a716fbc5d92d3a07efd38c82f07fdaf696,1,0
0x0a5d3e873f42a513d49deed37620a1c5682123ab,1,0
0x0a9183e0902e9b3f053ce03017408562341f51e7,1,0
0x0ab3abebfb4c301559026bbe33f964f71eca8dec,1,0
0x0ab5af6d0a5c0faa1dd12a84e43bc5c73295421e,1,0
0x0abe81b56f49b2f9031e753bd666f2931303f6e9,1,0
0x0b0986564007ee6e893a4f16edb47ee12c796937,1,0
0x0b177eb717ee01f10345d46998681e97756ba722,1,0
0x0b267b73dc1d613706c9ab0763224049d61b4fea,1,0
0x0b6437cab96be594c2b84a9c969e0eab8ec6d695,1,0
0x0bf244405a7ee10d1f1f8c67e64d810fa1402860,1,0
0x0c22ae589d4c99199cf7a86bce733a8d9f18cd39,1,0
0x0c80c7147c43ef6539b4aba07269a326de82dce4,1,0
0x0cc2adcbbd25f9b0a0f36011ae29a019091c2e84,1,0
0x0ce4ea7c5f3d456e412a7530161d3b4824cbdb32,1,0
0x0cf804954a067a2df554aa33a0696c945627aabf,1,0
0x0d0b5be7da17179f8b05a36e557abee5ffe2a566,1,0
0x0d13c15d9dfff0be919e77894b1e702903bb18c0,1,0
0x0d397eba4000ba17ef882fb61af11748d5173521,1,0
0x0d8f716664c58794fcbc779e0b74bafaa0ed48a6,1,0
0x0e33282209ca339bd8a57096ac8d1ae574cd499e,1,0
0x0e3df507ad387e835a7e8612adc77505693d2950,1,0
0x0e8baad5f452ce2b719fdd3a4f6cb3e7f4436897,1,0
0x0ee6e3c6367cb33ea6cc1fd1cd83f8d2202b7471,1,0
0x0f2147e3121dc1e975ac67fc68e29287000b263f,1,0
0x0f3b301c452664a9091ae9920c7fa8c68d999514,1,0
0x0f76417ea9f54e999a77b663b52449c80471ec7a,1,0
0x0fc3245def97d1d42eab98e6e4b108d0d6ab7b20,1,0
0x10092de705cb60c9b90ae93257d5b309166f3913,1,0
0x103bfe33f34236a5428f41887d62f99e1e0c6937,1,0
0x110722065b0c71949a3dd43ed9e23d3588fc9799,1,0
0x113f598979a97e00939aa7fbd2df615af292dc8d,1,0
0x113f8556d70b4754bbc0fa8f3de952d31d3535c9,1,0
0x1143a472310b8e3f90b01df38d02e424e0f8422e,1,0
0x1145927533b1984e293822a77a85c11381667cf6,1,0
0x11d3bc3ac26b1c445914acc3a0ea4b70afbbd52d,1,0
0x120c22602fe6ef2374b43dfb5552522b1d605689,1,0
0x123a00a0cb5eca3c9f6a2390dded98ba1e69f4b7,1,0
0x123fd46287ee04bfa08031fb4a7e9bcaec0dcfbc,1,0
0x12a8d9bf53b1685c262e8979aaeb81adc20baf5d,1,0
0x12af7c2a870d183df1f0874c169c53a727e2e7a7,1,0
0x12b4c3e5dc1bc01b4fa5390e9c0503663631f5b7,1,0
0x134dd3f5547fd9e1013e4098524a3751c3b48f02,1,0
0x1358e36bba4cd76c917ba18f57560ad0df351650,1,0
0x13bd1055a58d99eeea347b06515190c0e3cc688b,1,0
0x13f44d550c920d4e73cdcd2145a16c131db6fda2,1,0
0x140da86029940fc01451ca4df52853d94a7ddc7b,1,0
0x14645ad74bf7865935eb2826e418319cd1957096,1,0
0x1486813778379ebf82dabb0dfcf1895fe4c1cfdb,1,0
0x1499bb95679483b75413263eed4f8313e14ac40c,1,0
0x14e2c2674315184cee2a31821b77228016057fb6,1,0
0x15029afe3a6fcd9b24b159cf01bd9141e3f23400,1,0
0x1551e08efe088cb1fad8b07af78875b3e3fa0f61,1,0
0x158c9d51df0da487b4f3daf0c1051e8182b9a825,1,0
0x15a8b3166294b26aded44de9dff2fcd26409de26,1,0
0x15a8ebc0816e6481953f8ba2b478111bc6ac2ab8,1,0
0x15f8da2fec7420950fa22ddafd6fdcb8b7abed25,1,0
0x1633090139689acf26bc44c7dc9c5f2d4e320526,1,0
0x172f173eeafaa259f43deff976b0b1ce00526b2d,1,0
0x173e95508500371588927373b0ea2a768b2f053c,1,0
0x1751ad9e5fa0d4a42e74c8eacdcc73e52608c689,1,0
0x17a48b957f1a0f368b2ebbb1fa6bbf8bae59e7fd,1,0
0x17e6d6cae3150300e1584803d1e793b86e2c2b21,1,0
0x185ea9fbb4e47e059fd5484d86b2e8257e91fc79,1,0
0x18a65e05423df395421a2eb95050b48886cc9c02,1,0
0x18aa36acf2434b325681e50aca4d3f34cd61dc8e,1,0
0x1934d1fce850b75da9a7d89e4af77a5d07f862db,1,0
0x193c79afa17967ae5d8140b0ee40807bc6bbebc3,1,0
0x19482b41037d0de67c7ecdf978fbe40660110628,1,0
0x19606336bdb9637e036166bcc67faaf251ecc367,1,0
0x1973fa9706573d31c6e192b5bbc1adc1e94000cf,1,0
0x19be5c904e673cde6f43392e278a0bdf8414e89f,1,0
0x1a2538519dc3900481721b1694b408637e615d48,1,0
0x1a360a9c9dd28d7df39ffdc500160025a794f270,1,0
0x1a6daeef506fd7ef476f07e62bd0cd6cbb991c80,1,0
0x1ad09194dee576eea6eda9092ecb80b2be247b40,1,0
0x1ae483291b9f999632c19a3b234598148a02b4f6,1,0
0x1b1820d6d887c69ff942afc8406b86bef270959c,1,0
0x1b2b21b336d726dd8cd6ca63a91d7a22608a4ffe,1,0
0x1b9a25fe56fd23f6ee8324319f0c2c4851469adc,1,0
0x1c0e9406afaf7579c9591cc52a05bd2cd9ea443a,1,0
