Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0x03ecc476aa2314695944ac6cc88137241e4d5cfe,1,0
0x089b42092b06348b2cc2241012ba24dd3058921c,1,0
0x0f366e7b0d6afc7981cb8275d933d49832a0efa0,1,0
0x2758f6929c3a480b4405799297c9825c663c92b5,1,0
0x304942f695f13fc06dbffe2c64a5516db5850844,1,0
0x328df4a6674b75c0eeb84b2820276d7715b52fcd,1,0
0x399cad017c0ee3ea4f41b0ca8e597318f857482a,1,0
0x4259680eb12b34723ab7c88fa9ee140edfb6db6a,1,0
0x4405a93240aa5d60dfec5246c74146b14c64534a,1,0
0x4492cf32403db36fc8b341c04a9b825da795475b,1,0
0x529d7d1cb8ac6394f9a4f90186bc3ef7c4723851,1,0
0x53353c5b872afab462f945b20ae91057181ad351,1,0
0x5b43745bcb02b4bf0c30b1106833cbcb08233f4a,1,0
0x5d5f163a9b5bb2e3c7f1f0ed3c63cf9f6ff5a23b,1,0
0x5f84093825cc3318ee5b6644214c1e46923fb5a4,1,0
0x615fbc302ffdd2a76656dd941a3fefdefbe400d4,1,0
0x679f6d19dd99733bbb3e83108dfd10ebc9fbe972,1,0
0x691c295bf5d79c203451bb7f49af01db563ced83,1,0
0x71873b92f90973bbcdc767d8b29f464daefb2243,1,0
0x7eab937302c35669ac5217bcc81dcebaf3bc4f73,1,0
0x88a3365508b83a95e4f360b343f4600d1150404d,1,0
0xa15013646c459e0a991d6104d3c202032a112777,1,0
0xa437edb5987318649c05386801135a0c0bfcb701,1,0
0xbe908cd7714d584508fa97a8f76b0eaa34fb122b,1,0
0xc530d2720b72ab28fc6ee52b37161b2e647e43c2,1,0
0xc682f0596209c2b06e52c473c1fd45ed68018eb2,1,0
0xc764cd927d0335f5d947c8fbd41f437505fa5ced,1,0
0xc8971edaa16edd13c05aa2981126bf728b67eea0,1,0
0xcfd175a5830ac0d2dc38bd43030d1babbcb1ee44,1,0
0xd06489918bf5d35f453da439bcd9a3105a7edda4,1,0
0xd89498a627ebfb7065eedeedd0b79d0e87472efa,1,0
0xdc0f405423b7598e6a7a421e1104f65dac031511,1,0
0xe65a3aa10e45142f243c4832e67a3be201420ddd,1,0
0xef7e6c8a7a928a28e70f153e040e9431325ec2bf,1,0
0xf4a3562ddcdb49b85163764ba3dfecbb23311665,1,0
0xf4b71f9f8bfab25831f53a400299f5e5139c8629,1,0
